time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entry_age,characteristic_group,characteristic,tariff_group,entry_rate
201415,Academic year,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,By Age 25,Free School Meals,All Other Pupils,High tariff,11.6
201415,Academic year,Local authority,E92000001,England,E12000009,South West,837,E06000028,Bournemouth,By Age 25,Free School Meals,All Other Pupils,High tariff,16.2
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,By Age 25,Free School Meals,All Other Pupils,High tariff,7.3
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,By Age 25,Free School Meals,All Other Pupils,High tariff,8.9
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,By Age 25,Free School Meals,All Other Pupils,High tariff,11.2
201415,Academic year,Local authority,E92000001,England,E12000007,London,306,E09000008,Croydon,By Age 25,Free School Meals,All Other Pupils,High tariff,14.3
201415,Academic year,Local authority,E92000001,England,E12000007,London,316,E09000025,Newham,By Age 25,Free School Meals,All Other Pupils,High tariff,16.1
201415,Academic year,Local authority,E92000001,England,E12000007,London,318,E09000027,Richmond upon Thames,By Age 25,Free School Meals,All Other Pupils,High tariff,26.6
201415,Academic year,Local authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,By Age 25,Free School Meals,All Other Pupils,High tariff,10.2
201415,Academic year,Local authority,E92000001,England,E12000008,South East,869,E06000037,West Berkshire,By Age 25,Free School Meals,All Other Pupils,High tariff,14.4
201415,Academic year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,By Age 25,Free School Meals,All Other Pupils,High tariff,9.6
201415,Academic year,Local authority,E92000001,England,E12000007,London,302,E09000003,Barnet,By Age 25,Free School Meals,All Other Pupils,High tariff,32.3
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,By Age 25,Free School Meals,All Other Pupils,High tariff,13.4
201415,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,By Age 25,Free School Meals,All Other Pupils,High tariff,16.5
201415,Academic year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,By Age 25,Free School Meals,All Other Pupils,High tariff,5.9
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,By Age 25,Free School Meals,All Other Pupils,High tariff,4.7
201415,Academic year,Local authority,E92000001,England,E12000001,North East,840,E06000047,Durham,By Age 25,Free School Meals,All Other Pupils,High tariff,11.0
201415,Academic year,Local authority,E92000001,England,E12000007,London,307,E09000009,Ealing,By Age 25,Free School Meals,All Other Pupils,High tariff,19.6
201415,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,By Age 25,Free School Meals,All Other Pupils,High tariff,13.2
201415,Academic year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,By Age 25,Free School Meals,All Other Pupils,High tariff,8.5
